db,column,LOC,LOC_sub,CAT,CAT_sub,CAN_ques,time
1-26301697-2,Hometown,v,,,,,
1-26387382-1,Status,,,v,,v,
1-2668416-7,Party,,,v,,v,
1-2696531-2,Location,v,,,,,
1-27361255-1,Location,v,,,,,
1-28730873-2,Occupation,,,v,,,
1-2897457-2,Position,,,v,,,
1-29127804-3,Location,v,,,,,
1-29202276-2,Destination,v,,,,,
1-29612224-1,Location,v,,,,,
2-10166535-9,Carburetor,,,v,,v,
2-10647310-1,Nationality,v,,,,,
2-10780927-1,Make,,,v,,v,
2-10581768-2,Type,,,v,,v,
2-10538989-2,Region,v,,,,v,
2-1074011-3,Place,v,,,,,
2-10526612-1,Nation of citizenship,v,,,,v,
2-15062421-1,Location,v,,,,v,
2-13845847-2,Location,v,,,,,
2-14302613-17,Nationality,v,,,,,
,Position,,,v,,,
2-15143976-2,Region,v,,,,,
2-13909437-6,Home,v,,,,,
2-14783550-12,Location,v,,,,v,
2-15097334-5,Surface,,,v,,v,
2-14824014-3,Sport,,,v,,v,
2-13986492-14,Location,v,,,,,
2-14611430-1,Location,v,,,,,
2-14519555-8,Division,v,v,,,,
2-1473124-1,Nation,v,,,,,
2-13910113-4,Home,v,,,,,
2-14786308-4,Sport,,,v,,v,
2-13897690-1,Location,,,v,,,
2-14828476-4,Home Team,v,,,,,
2-13554889-6,Type,,,v,,,
,Sport,,,v,,,
2-1448716-1,City,v,,,,,
2-14163678-3,Home,v,,,,,
2-14345690-11,Famous for,,,v,,v,
2-14010415-1,Party,,,v,,v,
2-14423756-3,Nation,v,,,,,
2-14177667-3,Nation,v,,,,v,
2-14385107-2,City,v,,,,,
2-14028934-3,Visitor,v,v,,,,
2-1436397-1,Province,v,,,,,
,Status,,,v,,,
2-14707564-9,Nationality,v,,,,,
,From,v,,,,,
2-15988551-1,Nation,v,,,,,
2-15550233-3,Nationality,v,,,,,
2-15344743-1,Launched,,,v,,,v
2-1604132-1,Province,v,v,,,,
,Appointed,,,v,,,v
2-15553293-2,Nation,v,,,,,
2-16066729-1,Home Town,v,v,,,,
,Position,,,v,,v,
,Year,,,v,,v,
2-15468818-2,Round,,,v,,v,
2-15715109-52,Birthplace,v,v,,,,
2-15621965-10,Nationality,v,,,,v,
2-1682026-5,Company,,,v,,v,
,Industry,,,v,v,v,
2-17093870-5,Region,v,v,,,,
2-17064840-4,Position,,,v,,,
2-17472859-2,City,v,,,,,
2-17511295-9,Visitor,v,v,,,,
2-17444611-1,Appointment,,,v,,,v
2-17029703-3,Nation,v,,,,,
2-17116064-4,Result,,,v,,v,
2-17035268-2,Nation,v,,,,,
2-1720632-2,Place,v,v,,,,
2-17190456-3,Visitor,v,,,,,
,Home,v,,,,,
2-16772687-18,From,v,,,,,
2-17591791-1,Location,v,,,,,
2-17371250-13,Nationality,v,,,,,
2-17271235-3,Winner,,,v,,v,
,Round,,,v,,v,
2-16549823-7,Transfer fee,,,v,,v,
2-16831299-2,Nation,v,,,,v,
2-16864441-1,Nation,v,,,,v,
2-1636806-2,Nation,v,,,,v,
2-17524651-3,Language,,,v,,v,
2-16279834-3,Nation,v,,,,v,
2-16927321-6,Traction Type,,,v,,v,
2-16623550-1,City,v,,,,,
2-16215078-1,Region,v,v,,,,
2-17034845-3,Manufacturer,,,v,,v,
2-16846-6,City,v,,,,,
2-17440650-2,Location,v,,,,,
2-1677211-1,State,v,,,,,
,City of license,v,,,,,
2-16404058-1,Birth,,,v,,,v
2-16234974-1,State,v,,,,,
2-17357560-1,Event,,,v,,,?
2-17239112-7,Home,v,v,,,,
2-16832887-1,Location,v,,,,,
2-16785053-2,State,v,,,,,
2-11801649-17,Nationality,v,,,,,
2-11771022-3,Visitor,v,v,,,,
2-1083851-1,Home city,v,,,,,
2-11115098-8,Opponents,v,,,,,
2-1126723-3,Location,v,v,,,,
2-11801035-5,Home,v,,,,,
2-11821711-8,Visitor,v,,,,,
2-11772511-8,Home,v,,,,,
2-11821711-9,Home,v,,,,,
2-1137707-2,Location,v,,,,,
2-10806592-5,Home team,v,v,,,,
2-11786147-5,Visitor,v,,,,,
2-11356674-6,Nation,v,,,,,
2-11677760-25,Hometown,v,,,,,
2-1097158-4,Format,,,v,,v,
2-11908801-1,Gender,,,v,,v,
2-11565999-3,Recorded,,,v,,,v
2-10970776-3,Nation,v,,,,,
2-11677691-2,Hometown,v,,,,,
2-1198472-1,Location,v,v,,,,
2-11736225-1,Nation,v,,,,,
2-11482079-20,Pos.,,,v,,v,
2-11241317-2,City,v,,,,,
2-12005739-2,Nation,v,,,,,
2-10801190-1,Color,,,v,,,
2-1780045-1,Venue,v,,,,,
2-18139722-2,Location,v,v,,,,
2-18259953-4,Nationality,v,,,,,
2-18073616-2,Elevated,,,v,,,v
2-18223138-1,Ad Freq,,,v,,,v
,News Freq,,,v,,,v
2-18204624-1,State,v,,,,,
2-18942405-11,Location,v,,,,,
2-18666541-3,Nation,v,,,,,
2-18579281-5,Nationality,v,,,,,
2-18942275-1,Nation,v,,,,,
2-18942405-10,Location,v,,,,,
2-18566436-1,Nation,v,,,,,
2-18982988-2,Nationality,v,,,,,
2-18632367-4,Nation,v,,,,,
2-18782055-2,Nation,v,,,,,
2-18951015-2,Nation,v,,,,,
2-18965848-4,Nation,v,,,,,
2-18814912-4,Location,v,,,,,
2-18788871-4,Nation,v,,,,,
2-18624773-3,Nationality,v,,,,v,
2-18395166-2,Nation,v,,,,,
2-1864289-5,Nation,v,,,,,
2-18868206-3,Nation,v,,,,,
2-18697186-1,Location,v,,,,,
2-18569011-6,Nationality,v,,,,,
2-18802185-4,Nation,v,,,,,
2-18993396-1,Nation,v,,,,,
2-18807607-2,Nation,v,,,,,
2-1278862-5,City of license,v,,,,,
2-1332289-1,Location,v,,,,,
2-12703676-2,Format,,,v,,v,
2-1296513-2,City,v,,,,,
2-12392600-3,Nation,v,,,,,
2-12592245-1,Location,v,v,,,,
2-12537-3,Sport,,,v,,v,
2-13012165-2,City,v,v,,,,
2-12617978-5,First aired,,,v,,,v
2-13071896-2,Format,,,v,,v,
2-12501219-1,In Service,,,v,,,v
2-12791809-1,Road Closed,,,v,,,v
2-12936850-2,Presentation of Credentials,,,v,,,v
2-12890214-1,Occupation,,,v,,v,
2-12601267-1,State,v,,,,,
2-12446535-3,Nationality,v,,,,,
2-12427276-3,Nationality,v,,,,,
2-1251765-10,Nation,v,,,,,
2-12601141-1,State,v,,,,,
1-1014206-2,Commissioned,,,v,,v,v
1-10601843-2,City,v,,,,,
1-11456251-5,Power Source,,,v,,v,
1-11602885-1,Location,v,v,,,,
1-11622392-1,Location,v,v,,,,
1-11622896-1,Location,v,v,,,,
1-11677100-12,Hometown,v,,,,,
1-11677691-1,Hometown,v,,,,,
1-11677691-4,Hometown,v,,,,,
1-11677691-8,Hometown,v,,,,,
1-1198175-1,Born,v,,,,v,v
1-12032893-1,Home Town,v,,,,,
1-1206583-2,Launched,,,v,,v,v
1-12078626-1,Deadline for completion,,,v,,v,v
1-12094300-1,State,v,,,,,
1-1220125-4,Launched,,,v,,,v
1-12547903-3,Location,v,v,,,,
1-1359212-2,Second place,v,,,,,
,Winner,v,,,,,
1-13762472-4,Location Attendance,v,,,,,
1-13833770-3,Party,,,v,,,
1-140297-1,Principal town,v,,,,,
1-14342367-13,Hometown,v,,,,,
1-14573770-4,Nation,v,,,,,
1-15353123-1,Position,,,v,,,
1-15621965-17,Position,,,v,,,
1-15621965-18,Position,,,v,,,
1-16376436-1,Position,,,v,,,
1-16729063-1,Position,,,v,,,
1-16796625-1,Urban area (locality),v,,,,,
1-1682026-2,Headquarters,v,v,,,,
1-1714685-1,Aired in Japan 3,,,v,,,v
1-17822401-1,Location,v,,,,,
1-18277458-2,"City, state",v,,,,,
1-18461635-1,Location,v,,,,,
1-18626383-2,Hometown,v,,,,,
1-19215259-1,Location,v,,,,,
1-1963459-2,Manufacturer,,,v,,,
1-1969634-1,Location,v,,,,,
1-1973729-1,Location,v,,,,,
1-1974443-1,Location,v,,,,,
1-1974632-1,Location,v,,,,,
1-2076463-2,Location(s),v,,,,,
1-20996923-20,City,v,,,,,
1-21260421-1,Location,v,,,,,
1-21422977-2,Duration,,,v,,v,v
1-21692771-1,Maturity,,,v,,v,v
1-22357065-1,Nation,v,,,,,
1-22385461-9,Start ( UTC ),,,v,,,v
1-22385461-6,End (UTC),,,v,,,v
1-224672-2,Term began,,,v,,v,v
,Term ended,,,v,,v,v
1-22496344-1,Home Town,v,,,,,
1-22670216-1,Location,v,,,,,
1-22962745-12,League finish,,,v,,v,
1-2308381-2,Position,,,v,,v,
1-23575917-4,First broadcast,,,v,,v,v
1-23819979-3,Last match,,,v,,v,v
1-24302700-2,Nationality,v,,,,,
1-24798489-1,Location,v,,,,,
1-24786958-2,Kickoff,,,v,,v,v
1-24918268-2,Kickoff,,,v,,v,v
1-25831483-1,First Appearance,,,v,,v,v
,Last Appearance,,,v,,v,v
1-261927-2,Location,v,,,,,
1-2679061-6,Nationality,v,,,,,
1-27765443-2,Period of operation,,,v,,v,v
1-2801442-1,Headquarters,v,v,,,,
1-2840500-6,Nationality,v,,,,v,
1-2886617-3,Nationality,v,,,,,
1-28885977-1,Location,v,v,,,,
1-291768-1,Commissioned,,,v,,v,v
,Launched,,,v,,v,v
1-29483673-1,Affiliation,,,v,,v,
2-1028380-5,Location,v,,,,,
2-10242364-2,Premiere,,,v,,v,v
2-10122032-1,Nation,v,,,,,
2-1013129-8,Nationality,v,,,,,
2-10325248-2,Surface,,,v,,,
2-1014206-1,Launched,,,v,,v,v
,Commissioned,,,v,,v,v
2-1014206-2,Commissioned,,,v,,v,v
,Launched,,,v,,v,v
2-1055707-1,Color,,,v,,,
2-1054502-1,Position,,,v,,v,
2-10637415-8,City,v,,,,,
2-10560886-7,Nationality,v,,,,,
2-10721054-4,City,v,,,,,
,State,v,,,,,
2-10563642-2,Nationality,v,,,,,
2-10560886-15,Nationality,v,,,,,
2-10777895-2,City,v,,,,,
2-10600564-2,Nationality,v,,,,,
2-10560886-3,Nationality,v,,,,,
2-10648431-3,Nation,v,,,,,
2-10637415-10,City,v,,,,,
2-14323142-16,Nationality,v,,,,,
2-14040750-2,Location,v,,,,,
2-15236220-4,Year,v,,,,,
2-14707564-5,Nationality,v,,,,,
2-14509824-5,Nationality,v,,,,,
2-14083524-2,Visitor,v,v,,,,
2-1363000-1,City,v,v,,,,
2-14918-1,Nationality,v,,,,,
2-14160327-4,Genre,,,v,v,,
2-14027795-2,Hometown,v,v,,,,
2-13555999-1,Gender,,,v,,,
2-15295737-108,Nation,v,,,,,
2-14176339-3,City,v,,,,,
2-14611491-1,Location,v,,,,,
2-14094649-10,Headquarters,v,v,,,,
2-14639905-3,Nation,v,,,,,
2-14837173-3,Nation,v,,,,,
2-15123149-2,Nationality,v,,,,,
2-13986492-12,Location,v,,,,,
2-143433-1,Season finale,,,v,,v,v
2-13912739-13,Nationality,v,,,,,
2-15273269-4,D.O.B.,,,v,,v,v
2-14415326-2,Home Town,v,,,,,
2-14176339-2,City,v,,,,,
2-13975482-1,City of license,v,,,,,
2-140665-1,Year Ended,,,v,,v,v
2-1473672-8,Nationality,v,,,,,
2-14638077-2,City/Location,v,,,,,
2-14331545-5,Month,,,v,,v,v
2-13849334-2,Birth,,,v,,v,v
2-14155268-3,Death,,,v,,v,v
,Birth,,,v,,v,v
2-14431362-3,D.O.B.,,,v,,v,v
2-14611466-1,Location,v,,,,,
2-13908184-4,Visitor,v,,,,,
2-14617-2,Introduced,,,v,,v,v
2-1453730-1,Nation,v,,,,,
2-14159731-6,Visitor,v,,,,,
2-14155268-1,Birth,,,v,,v,v
,Death,,,v,,v,v
2-14305653-31,City,v,,,,,
2-14687922-2,Nation,v,,,,,
2-1364210-1,State,v,,,,,
2-1570375-3,Nation,v,,,,,
2-15715109-22,Birthplace,v,,,,,
2-156618-3,Colour,,,v,,,
2-16079809-1,Location,v,,,,,
2-1543845-2,Nation,v,,,,,
2-15313481-14,Location,v,,,,,
2-15525566-1,City of license,v,,,,,
2-15582798-2,Recorded,,,v,,v,v
2-15987929-1,Nation,v,,,,,
2-15503252-3,Nationality,v,,,,,
2-15715109-12,Birthplace,v,v,,,,
2-15715109-40,Birthplace,v,v,,,,
2-15715109-1,Birthplace,v,v,,,,
2-15362194-1,Nation,v,,,,,
2-15621965-8,Nationality,v,,,,,
2-1613392-3,Nation,v,,,,,
2-16181798-1,Frequency,,,v,,v,
2-15322962-2,Region,v,,,,,
2-15759218-1,Nation,v,,,,,
2-15504821-3,Nation,v,,,,,
2-15740666-6,Last Meeting,,,v,,v,v
2-15322952-2,Region,v,,,,,
2-15970834-1,Nation,v,,,,,
2-16304368-1,City,v,,,,,
2-1682026-8,Industry,,,v,v,,
,Headquarters,v,v,,,,
2-17520230-1,Location,v,,,,,
2-17215185-2,Format,,,v,,,
2-17297775-1,Nationality,v,,,,,
2-17540670-1,Format,,,v,,,
2-16198456-2,Attendance,,,v,,v,v
2-17544076-1,Nation,v,,,,,
2-16660922-1,Result,,,v,,,
2-1620220-3,Format,,,v,,,
2-17206737-3,Location,v,,,,,
2-167446-1,Nationality,v,,,,,
2-16275828-7,Location,v,,,,,
2-16394033-1,Location,v,,,,,
2-16494599-19,Nationality,v,,,,,
2-16271198-1,Department,,,v,,,
2-17396-1,Returned On,,,v,,v,v
2-17077948-1,Nationality,v,,,,,
2-17136937-1,Nation,v,,,,,
2-17304621-5,Monthly Cap,,,v,,v,
2-16250642-1,Type,,,v,v,,
2-171222-1,Status,,,v,,,
2-1750185-2,Format,,,v,,,
2-16642294-1,Proposed,,,v,,v,v
,Construction completed,,,v,,v,v
,Listed,,,v,,v,v
2-167235-6,Term end,,,v,,v,v
,Term start,,,v,,v,v
2-17419587-1,Location,v,v,,,,
2-163231-4,Nation,v,,,,,
2-163252-2,Premiere,,,v,,v,v
,Finale,,,v,,v,v
2-17577144-2,League position,,,v,,,
2-16792161-2,Left office,,,v,,v,v
,Took office,,,v,,,
2-16792781-1,Location,v,v,,,,
2-17104192-3,Nation,v,,,,,
2-17387421-1,Nationality,v,,,,,
2-10882501-8,Sport,,,v,,,
2-11365528-2,Location,v,v,,,,
2-11099297-12,LD's place 2007,,,v,,,
2-11389949-1,Nation,v,,,,,
2-11178110-2,Nation,v,,,,,
2-12014051-2,Nationality,v,,,,,
2-10789374-1,Season Premiere,,,v,,v,v
2-11999692-2,Year,,,v,,v,v
2-11763491-1,Finish,,,v,,v,
2-11803648-12,Nationality,v,,,,,
