db,table,column,LOC,LOC_sub,CAT,CAT_sub,CAN_ques,time
,grants,grant_amount,,,,,,
network_2,person,gender,,,v,,,
,,job,,,v,v,,
,,city,v,,,,,
company_office,companies,headquarters,v,v,,,,
,,industry,,,v,v,,
,buildings,status,,,v,,,
entertainment_awards,festival_detail,location,v,v,,,,
college_3,course,days,,,v,,,
,faculty,sex,,,v,,,
,,rank,,,v,,,
local_govt_and_lot,things,service_details,,,v,,,
school_player,school,denomination,,,v,,,
store_product,product,max_page_size,,,v,,,
,store,type,,,v,,,
soccer_2,tryout,decision,,,v,,,
,,ppos,,,v,,,
,college,state,v,,,,,
,player,ycard,,,v,,,
device,device,software_platform,,,v,v,,
cre_Drama_Workshop_Groups,addresses,city_town,v,v,,,,
music_2,performance,stageposition,,,v,,,
,instruments,instrument,,,v,,,
,albums,type,,,v,,,
manufactory_1,manufacturers,headquarter,v,v,,,,
shop_membership,branch,city,v,,,,,
voter_2,voting_record,election_cycle,,,v,,,
,student,sex,,,v,,,
products_gen_characteristics,ref_colors,color_description,,,v,v,,
,ref_product_categories,unit_of_measure,,,v,,,
swimming,swimmer,nationality,v,,,,,
workshop_paper,submission,college,v,,,,,
cre_Theme_park,tourist_attractions,how_to_get_there,,,v,,,
,visitors,tourist_details,,,,,,
,features,feature_details,,,v,,,
game_1,video_games,gtype,,,v,,,
customers_and_addresses,customers,payment_method,,,v,,,
,addresses,city,v,,,,,
,customer_orders,order_status,,,v,,,
,,order_details,,,v,,,
,products,product_details,,,v,,,
music_4,music_festival,result,,,v,,,
,,category,,,v,,,
roller_coaster,country,languages,,,v,,,
ship_1,captain,rank,,,v,,,
,,class,,,v,,,
,ship,flag,,,v,,,
city_record,city,city,v,,,,,
school_bus,driver,home_city,v,,,,,
flight_company,operate_company,principal_activities,,,v,,,
cre_Docs_and_Epenses,projects,project_details,,,v,,,
,statements,statement_details,,,v,,,
,ref_budget_codes,budget_type_description,,,v,,,
wine_1,grapes,color,,,v,v,,
,appellations,area,v,v,,,,
,wine,grape,,,v,,,
train_station,station,location,v,v,,,,
driving_school,addresses,city,v,,,,,
activity_1,faculty,rank,,,v,,,
,,sex,,,v,,,
flight_4,airports,city,v,,,,,
tracking_orders,orders,order_status,,,v,,,
,order_items,order_item_status,,,v,,,
architecture,architect,gender,,,v,,,
,,nationality,v,,,,,
,mill,type,,,v,,,
,,location,v,,,,,
culture_company,culture_company,incorporated_in,v,,,,,
,book_club,publisher,,,v,,,
